#nct_id,title,has_us_facility,conditions,eligibility_criteria
#nct_id,title,has_us_facility,conditions,eligibility_criteria
NCT04348032,Apatinib Combined With PLD vs PLD for Platinum-resistant Recurrent Ovarian Cancer,false,Platinum-resistant Recurrent Ovarian Cancer,"
        Inclusion criteria

          1. Patients were diagnosed with ovarian cancer, fallopian tube cancer or primary
             peritoneal cancer confirmed by previous pathology, and the pathological type was
             non-mucinous adenocarcinoma.There were previous surgical wax preservation.

          2. Initial platinum-resistant relapse, the recurrence time was less than 6 months after
             the last chemotherapy.

          3. Complicated with malignant pleural effusion or ascites, or with recurrent lesions that
             can be evaluated clinically.

          4. ECOG physical status score 0 or 1.

          5. The expected survival time is ≥ 4 months.

          6. In the previous treatment, there was no antivascular targeted therapy;

          7. Patients without pleural effusion or ascites should be confirmed by CT or MRI
             according to the standard of RECIST1.1 version, requiring the patient to have at least
             one measurable focus as the target focus. If the target focus is a lymph node with a
             short diameter of more than 1.5 cm, and the target focus is not suitable for surgical
             treatment, the target focus has not received radiotherapy or relapsed in the
             radiotherapy field.

          8. The baseline blood routine conforms to the following criteria:

               1. neutrophil count ≥ 1.5x109 /L;

               2. platelet count ≥ 100x109 PG L;

               3. hemoglobin ≥ 9g/dL (blood transfusion is allowed to achieve or maintain this
                  target) .

          9. Liver function meets the following criteria:

               1. total bilirubin<1.5 normal limit (ULN);

               2. glutamic oxaloacetic transaminase (AST), glutamic pyruvic transaminase
                  (ALT)<2.5xULN, which is allowed<5xULN in patients with liver metastasis.

         10. Serum creatinine ≤ 1.25xULN or calculated creatinine clearance ≥ 50mL/min.

        Exclusion criteria

          1. Have received more than two chemotherapy regimens in the past.

          2. Currently or recently (within 30 days before enrollment) using another research drug
             or participating in another clinical study.

          3. other malignant tumors have occurred within 5 years (except adequately treated
             cervical carcinoma in situ or skin squamous cell carcinoma, or controlled basal cell
             carcinoma of the skin).

          4. Patients with hypertension that cannot be reduced to normal range after
             antihypertensive treatment (systolic blood pressure ≥ 140mmHg or diastolic blood
             pressure ≥ 90 mmHg).

          5. Suffer from myocardial ischemia or myocardial infarction above II grade and poorly
             controlled arrhythmias (including QTc interval ≥ 470ms in females).

          6. According to the NYHA standard, there were previous or present cardiac insufficiency
             of grade II or above, or color Doppler echocardiography showed that the left
             ventricular ejection fraction ((LVEF)) was less than 50% or the lower limit of the
             normal value.

          7. Abnormal coagulation function (INR>1.5 or prothrombin time (PT) > ULN+4 seconds or
             APTT>1.5xULN), with bleeding tendency or undergoing thrombolytic or anticoagulant
             therapy.

          8. There were significant clinical bleeding symptoms or definite bleeding tendency in the
             first 3 months, such as gastrointestinal bleeding, hemorrhagic gastric ulcer, baseline
             fecal occult blood or above, or suffering from vasculitis.

          9. Major surgical operations or severe traumatic injuries, fractures or ulcers occurred
             within the first 4 weeks of randomization.

         10. There are significant factors affecting oral drug absorption, such as inability to
             swallow, chronic diarrhea and intestinal obstruction.

         11. Urine routine indicates urinary protein ≥++, or confirms 24-hour urinary protein ≥
             1.0g.

         12. The researchers judged other conditions that may affect the conduct of clinical
             studies and the determination of research results.

         13. Allergic or heterogeneous reactions to doxorubicin and / or related substances.

         14. The cumulative dose of doxorubicin (including previous anthracycline, if any) is
             expected to reach or exceed 550 mg after 4 courses of doxorubicin liposome injection
             treatment.

         15. Uncontrollable arrhythmias or electrocardiograms abnormalities determined by the lead
             researcher to be at risk.

         16. A history of doxorubicin liposome therapy in recent half a year.

         17. Have previously received local radiotherapy of the pelvis or lower abdomen.
      "
NCT04348006,Assessment of Bortezomib (Alvocade ®) Efficacy and Safety in Newly Diagnosed Multiple Myeloma Patients,false,Newly Diagnosed Multiple Myeloma,"
        Inclusion Criteria:

          -  Newly diagnosis Multiple myeloma with CRAB (C: hypercalcemia, R: renal impairment, A:
             anemia, and B: bone lesions)

          -  Age above 18 years old

        Exclusion Criteria:

          -  Age below 18 years

          -  Smoldering MM
      "
NCT04347811,Use of Death Cafes to Prevent Burnout in ICU Healthcare Employees,true,"Anxiety|Burnout|Burnout, Professional|Burnout, Psychological|Depression","
        Inclusion Criteria:

          -  Physicians, nurses, pharmacists, or therapists working in the University Medical
             Center Intensive Care Unit and have worked for the full-time equivalent of at least 1
             week in the preceding 4 weeks

        Exclusion Criteria:

          -  Not physicians, nurses, pharmacists, or therapists

          -  Have worked less than the full-time equivalent of at least 1 week in the preceding 4
             weeks
      "
NCT04347252,Glucagon Regulation of Glucose Metabolism,true,Insulin Secretion,"
        Inclusion Criteria:

          -  Healthy, fasting glucose values < 6 mM, A1c < 6%, and no first degree family members
             with T2DM.

        Exclusion Criteria:

          -  Active infectious, malignant or inflammatory conditions; unstable angina or
             uncompensated heart failure; pulmonary disorders including COPD and asthma;
             malabsorptive GI disease; significant hepatic disease; renal insufficiency (eGFR < 50
             ml/min/kg); anemia (hematocrit < 34%); pregnancy; and uncontrolled hypertension.
             Subjects will be excluded if they require daily medications that alter glucose
             metabolism or GI function (glucocorticoids, psychotropics, narcotics, metoclopramide).
      "
NCT04344847,"Incidental Finding of Gastrointestinal Stromal Tumors (GISTs) During Laparoscopic Sleeve Gastrectomy, How to Deal? How Much Safety Margin",false,Excision Margin,"
        Inclusion Criteria:

        All morbid obese patients with BMI more than 35

        Exclusion Criteria:

          -  previous gastric surgery

          -  patients with hiatus hernia

          -  age under 21 years
      "
NCT04344678,The Phosphodiesterase 5 Inhibitor Sildenafil as an Adjunct to Antidepressants in Major Depressive Disorder Patients,false,Major Depressive Disorder,"
        Inclusion Criteria:

          -  Eighty adult outpatients with the Diagnostic and Statistical Manual of Mental
             Disorders-IV (DSM-IV) diagnosis of MDD based on a MINI Neuropsychiatric Interview
             (MINI) (American Psychiatric Association., 2000; Sheehan et al., 1998), without
             psychotic features and a total 17 item HAM-D score of at least 18 with item 1
             (depressed mood) scored 2 or greater were eligible (Hamilton, 1960).

          -  Patients were requested to be free of all the psychotropic and anti-inflammatory
             medications for at least 4 weeks before participating in the study.

        Exclusion Criteria:

          -  Patients with bipolar I or bipolar II disorder

          -  Patients with personality disorders

          -  Patients with eating disorders

          -  Patients with substance dependence or abuse

          -  Patients with concurrent active medical condition

          -  Patients with history of seizures

          -  Patients with history of receiving Electroconvulsive therapy (ECT)

          -  Patients with inflammatory disorders

          -  Patients with allergy or contraindications to the used medications

          -  Patients with finally pregnant or lactating females

          -  Cardiovascular disorders

          -  Severe renal impairment: creatinine clearance of ≤ 25 ml/min

          -  Moderate or severe hepatic impairment
      "
NCT04344470,Study of Volition: Behavioral Analysis and EEG/ERP Analysis,true,Normal Physiology,"
        -  INCLUSION CRITERIA:

        In order to be eligible to participate in this study, an individual must meet all of the
        following criteria:

          -  Age between 25-45 years

          -  Right-handed (tested by the Edinburg handedness inventory).

          -  Able to give informed consent.

          -  Able to comply with all study procedures.

          -  Fluent in English.

        EXCLUSION CRITERIA:

        An individual who meets any of the following criteria will be excluded from participation
        in this study:

          -  Illegal drug use within the past 6 months based on history alone. The intent is to
             exclude those with drug use that may affect study results.

          -  Self-reported consumption of >14 alcoholic drinks/week for a man and >7 alcoholic
             drinks/week for a woman.

          -  Abnormal findings on neurological examination.

          -  History of current brain tumor, stroke, head trauma with loss of consciousness,
             epilepsy, or seizures.

          -  Current episode of major depression or any major psychiatric illness.
      "
NCT04343391,Brief Psychotherapies for Emotional Disorders in Primary and Secondary Care,false,Emotional Disorder,"
        Inclusion Criteria:

          -  Emotional Disorder

        Exclusion Criteria:

          -  Severe mental disorder

          -  Substance use disorder

          -  Severe depression
      "
NCT04343014,Tongue Root Retractor For Fibroscopic Intubation,false,Airway Management,"
        Inclusion Criteria:

          -  aged 18 to 70 years

          -  ASA graded I~II class

          -  scheduled for elective surgery requiring orotracheal intubation

        Exclusion Criteria:

          -  with organ transplant operations

          -  with thoracic and cardiac vascular surgery

          -  with severe cadiac or pulmonary disease

          -  BMI over 35kg/m2
      "
NCT04342793,A Study to Evaluate the Efficacy and Safety of ALS-L1023 in Subjects With NASH,false,Nonalcoholic Steatohepatitis,"
        Inclusion Criteria:

          -  Men or women ages 19 and over, under 75 years of age

          -  Patients diagnosed with NAFLD on abdominal ultrasonography and MRI

          -  Patients show presence of hepatic fat fraction as defined by ≥ 8% on MRI-PDFF and
             liver stiffness as defined by ≥ 2.5 kPa on MRE at Screening

        Exclusion Criteria:

          -  Any subject with current, significant alcohol consumption or a history of significant
             alcohol consumption for a period of more than 3 consecutive months any time within 2
             year prior to screening will be excluded

          -  Chronic liver disease (including hemochromatosis, liver cancer, autoimmune liver
             disease, viral hepatitis A, B, alcoholic liver disease

          -  Uncontrolled diabetes mellitus as defined by a HbA1c ≥ 9.0％ at Screening

          -  Patients who are allergic or hypersensitive to the drug or its constituents

          -  Pregnant or lactating women
      "
